time,omega,omega_meas,tau_load
0.539,103.930754462759,103.860593601731,0
0.54,98.2254199126012,98.6753310770498,0
0.541,98.7207367794581,98.5706812766503,0
0.542,102.632022916084,103.146705772135,0
0.543,103.121942546204,102.94940956042,0
0.544,100.012297911606,100.518698843738,0
0.545,98.36517650206,98.6798437945257,0
0.546,104.413895841369,104.307388300049,0
0.547,102.765667076712,102.332818422532,0
0.548,99.1978884867685,98.6763343360997,0
0.549,99.9504060820184,99.8153716756943,0
0.55,103.600344415226,103.381273737425,0
0.551,104.346954519357,104.142617361959,0
0.552,98.3851964274612,98.8769690450639,0
0.553,99.1355284593716,98.9866798873669,0
0.554,102.790905309719,103.362744765105,0
0.555,103.535330968684,103.26952090993,0
0.556,99.24060719431,99.7268900583143,0
0.557,98.3254843685834,98.0643591260866,0
0.558,103.644559888358,103.73284878568,0
0.559,102.726863355589,103.212232267367,0
0.56,98.4308993453378,98.2239132078507,0
0.561,99.8846504488728,99.6655151897703,0
0.562,102.835721996853,103.837417302284,0
0.563,104.282160775529,104.757657525304,0
0.564,99.0446485204785,98.8286465986147,0
0.565,99.0702696446822,99.394740013364,0
0.566,103.448444305272,103.268406154695,0
0.567,103.469610391443,103.822552901118,0
0.568,98.2346293619652,98.9425538961835,0
0.569,98.2609669309066,97.4587090966081,0
0.57,102.641664506948,103.156091041449,0
0.571,102.663542365607,103.392526255938,0
0.572,99.5955927237979,99.6193283854353,0
0.573,99.9203301533117,100.793458508371,0
0.574,103.996885615473,104.074579372574,0
0.575,104.316572277236,103.698012434905,0
0.576,98.7805783863496,97.6838312469323,0
0.577,99.1048419820182,98.9381384483863,0
0.578,103.185131809208,103.541903460491,0
0.579,103.504342324263,103.66304619088,0
0.58,97.9720720714566,98.1788772666032,0
0.581,98.2958572252187,98.0073144333997,0
0.582,102.379859998017,102.451860898719,0
0.583,102.698589793545,101.879256928578,0
0.584,100.536074536627,100.156029537309,0
0.585,99.6119030801769,99.2025065320517,0
0.586,104.934854409937,105.194718854004,0
0.587,104.008132516526,104.001052486978,0
0.588,99.7160417141906,99.1382770300469,0
0.589,98.7963920772626,98.7916296192135,0
0.59,104.118097196971,103.773191928155,0
0.591,103.195884803834,102.862535227033,0
0.592,98.902547020576,99.3346217311585,0
0.593,97.9873946024018,98.0441043205152,0
0.594,103.307851984912,103.507033407995,0
0.595,102.39012456661,102.832109511727,0
0.596,98.0955383043905,98.185667151384,0
0.597,100.797722656114,101.073149917143,0
0.598,102.500453966821,102.841936104877,0
0.599,105.192829034179,105.778133364197,0
0.6,100.072993754163,100.310924047802,0
0.601,99.9771775533222,100.683293896544,0
0.602,104.472797595348,104.484101837502,0
0.603,104.372773223067,104.348838517957,0
0.604,99.2550064293384,100.105673756476,0
0.605,99.1603998969684,98.9055440405846,0
0.606,103.658081010153,103.656653530081,0
0.607,103.559260616267,104.01919415617,0
0.608,98.4435475065067,98.5184518728231,0
0.609,98.350139286912,99.0526060097505,0
0.61,102.8498667247,103.366927494485,0
0.611,102.752239002327,102.898024146712,0
0.612,98.203386735388,97.8145374662322,0
0.613,99.0309524863097,99.3143005350794,0
0.614,102.609745622696,101.918435042955,0
0.615,103.431249883228,103.553487221023,0
0.616,99.2300426875051,99.6342620890889,0
0.617,98.2217260908909,98.3282469400994,0
0.618,103.634130833352,104.073969415468,0
0.619,102.623426781785,103.642864907492,0
0.62,98.4206050140698,98.8825712384143,0
0.621,99.5678316085671,99.701290331865,0
0.622,102.825775367419,103.14660612063,0
0.623,103.966302338374,104.179045016187,0
0.624,98.3172776220069,97.6599158702634,0
0.625,98.7560861537369,98.5478805438872,0
0.626,102.723569702987,103.33591361538,0
0.627,103.157094325573,103.1353022228,0
0.628,98.6186297675299,98.9098414062539,0
0.629,97.9490044128284,97.4457543755188,0
0.63,103.024824873815,103.05708324497,0
0.631,102.352132574716,102.652278549309,0
0.632,97.8133982666183,97.1326407891861,0
0.633,100.523837013348,100.697633329328,0
0.634,102.219434234805,102.128512625575,0
0.635,104.920046068073,104.450278685102,0
0.636,100.805526173007,100.786759578597,0
0.637,99.7044804036957,98.7563281568845,0
0.638,105.203405114084,104.139416729993,0
0.639,104.100163557371,103.511701892013,0
0.64,99.9836947351844,99.4884286249423,0
0.641,98.8878793719632,98.3013632083295,0
0.642,104.384855771607,103.522141876842,0
0.643,103.286830878076,103.430944922908,0
0.644,99.168414373414,98.3713225132805,0
0.645,98.0778019710681,98.1329113956798,0
0.646,103.572831328323,103.966364666502,0
0.647,102.479995733827,102.47888234067,0
0.648,98.3596328386039,98.4061872186333,0
0.649,99.8021429324518,99.613064404157,0
0.65,102.764751797156,102.023413741626,0
0.651,104.199971751857,104.178062459178,0
0.652,98.2416143504304,98.7220269562714,0
0.653,98.9891302222513,99.858252688558,0
0.654,102.647900377157,102.432797255944,0
0.655,103.389514931207,102.575853562973,0
0.656,98.5997787454689,98.6829524916989,0
0.657,98.1807466076683,98.3688795628937,0
0.658,103.005798662625,102.892323430272,0
0.659,102.583198569183,102.008742424373,0
0.66,97.7941980680677,98.8063643678397,0
0.661,99.2149220493258,98.0351602938465,0
0.662,102.201600551814,101.946614528914,0
0.663,103.615075682626,102.954262887221,0
0.664,100.403602968952,100.085538844122,0
0.665,98.4038268526091,98.562752562139,0
0.666,104.803988333193,104.873012320417,0
0.667,102.803811383718,102.448443846313,0
0.668,99.5867725568094,99.9752743201693,0
0.669,98.3953638049519,98.7065607670379,0
0.67,103.989616875334,104.313307317592,0
0.671,102.796188096662,102.583372255832,0
0.672,98.7748518366113,99.2991422168795,0
0.673,98.2983375133411,98.6286910565246,0
0.674,103.180228943588,104.434615180181,0
0.675,102.700262271857,103.231992091378,0
0.676,97.9679879944855,98.5464488211492,0
0.677,98.5822524375266,98.6087418511894,0
